name_list,address_list,maps_url,place_id,name_google,address_google,phone_local,phone_international,lat,lng,opening_hours,rating,total_ratings,website,business_status
"ZUS Coffee – Desa Pandan, Ampang","No 35 (Ground Floor), Jalan 3/76D, Desa Pandan, 55100, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.","https://www.google.com/maps/place/ZUS+Coffee+-+Desa+Pandan,+Ampang/@3.1473656,101.735943,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc37d5f884f54b:0xc30ad291a1d5ce83!8m2!3d3.1473656!4d101.7385179!16s%2Fg%2F11wfp8qhtt?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJS_WE-NU3zDERg87VoZHSCsM,"ZUS Coffee - Desa Pandan, Ampang","No 35 (Ground Floor, Jalan 3/76d, Desa Pandan, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",012-816 1340,+60 12-816 1340,3.1472316,101.7379756,Monday: 7:00 AM – 10:40 PM; Tuesday: 7:00 AM – 10:40 PM; Wednesday: 7:00 AM – 10:40 PM; Thursday: 7:00 AM – 10:40 PM; Friday: 7:00 AM – 10:40 PM; Saturday: 7:00 AM – 10:40 PM; Sunday: 7:00 AM – 10:40 PM,4.2,76,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – Kenanga Wholesale City, Jalan Gelugor","G-92 (GF 012.2) & G-93 (GF 012.1), Ground Floor, Kompleks Kenanga Wholesale City, No. 2, Jalan Gelugor, 55200 Kuala Lumpur","https://www.google.com/maps/place/ZUS+Coffee+-+Kenanga+Wholesale+City,+Jalan+Gelugor/@3.1361024,101.7058558,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc377bd4b6cdf3:0xeda41ffb89a39d2e!8m2!3d3.1361024!4d101.7084307!16s%2Fg%2F11wj2cpkh7?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJ88221Hs3zDERLp2jifsfpO0,"ZUS Coffee - Kenanga Wholesale City, Jalan Gelugor","Ground Floor, Kompleks Kenanga Wholesale City, 2, Jalan Gelugor, Pudu, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",012-816 1340,+60 12-816 1340,3.1361024,101.7084307,Monday: 10:00 AM – 7:40 PM; Tuesday: 10:00 AM – 7:40 PM; Wednesday: 10:00 AM – 7:40 PM; Thursday: 10:00 AM – 7:40 PM; Friday: 10:00 AM – 7:40 PM; Saturday: 10:00 AM – 7:40 PM; Sunday: 10:00 AM – 7:40 PM,4.3,66,https://zuscoffee.com/,OPERATIONAL
ZUS Coffee – Giant Shah Alam Stadium,"A14 – A16, Ground Floor, Giant Shah Alam Stadium, Persiaran Sukan, Seksyen 13, 40100 Shah Alam, Selangor","https://www.google.com/maps/place/ZUS+Coffee+-+Giant+Shah+Alam+Stadium/@3.0840036,101.5467266,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4ddfdc378ca1:0x63eddfda0cff6a6b!8m2!3d3.0840036!4d101.5493015!16s%2Fg%2F11wfp7cvrr?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJoYw33N9NzDERa2r_DNrf7WM,ZUS Coffee - Giant Shah Alam Stadium,"A14 - A16, Ground Floor, Giant Shah Alam Stadium, Persiaran Sukan, Seksyen 13, 40100 Shah Alam, Selangor, Malaysia",012-816 1340,+60 12-816 1340,3.0840036,101.5493015,Monday: 10:00 AM – 9:40 PM; Tuesday: 10:00 AM – 9:40 PM; Wednesday: 10:00 AM – 9:40 PM; Thursday: 10:00 AM – 9:40 PM; Friday: 10:00 AM – 9:40 PM; Saturday: 10:00 AM – 9:40 PM; Sunday: 10:00 AM – 9:40 PM,4.3,39,https://zuscoffee.com/,OPERATIONAL
ZUS Coffee – Bintang Fairlane Residence,"B�0�1 (Ground Floor), Block B, Retail 1, Bintang Fairlane, NO. 23, Jalan Padang Walter Grenier 55100 Kuala Lumpur","https://www.google.com/maps/place/ZUS+Coffee+-+Bintang+Fairlane+Residence/@3.1450559,101.7099737,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc377c085fc0fd:0xfe972873f22db32b!8m2!3d3.1450559!4d101.7125486!16s%2Fg%2F11wfp8jb10?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJ_cBfCHw3zDERK7Mt8nMol_4,ZUS Coffee - Bintang Fairlane Residence,"B­0­1 (Ground Floor), Block B, Retail 1, Bintang Fairlane. 23 Jalan Padang, Lorong Walter Grenier, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",012-816 1340,+60 12-816 1340,3.1453007,101.7125329,Monday: 8:00 AM – 9:40 PM; Tuesday: 8:00 AM – 9:40 PM; Wednesday: 8:00 AM – 9:40 PM; Thursday: 8:00 AM – 9:40 PM; Friday: 8:00 AM – 9:40 PM; Saturday: 8:00 AM – 9:40 PM; Sunday: 8:00 AM – 9:40 PM,4.7,82,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – Nadayu 801, Taman Subang Murni","Lot 08, Nadayu 801, Taman Subang Murni, 40150 Shah Alam, Selangor","https://www.google.com/maps/place/ZUS+Coffee+-+Nadayu+801,+Taman+Subang+Murni/@3.163792,101.544357,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4f4c7dcf96e1:0x8899790250549b62!8m2!3d3.163792!4d101.5469319!16s%2Fg%2F11wfp5mks3?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJ4ZbPfUxPzDERYptUUAJ5mYg,"ZUS Coffee - Nadayu 801, Taman Subang Murni","Lot 08, Nadayu 801, Taman Subang Murni, 40150 Shah Alam, Selangor, Malaysia",012-816 1340,+60 12-816 1340,3.163792,101.5469319,Monday: 7:00 AM – 10:40 PM; Tuesday: 7:00 AM – 10:40 PM; Wednesday: 7:00 AM – 10:40 PM; Thursday: 7:00 AM – 10:40 PM; Friday: 7:00 AM – 10:40 PM; Saturday: 7:00 AM – 10:40 PM; Sunday: 7:00 AM – 10:40 PM,4.2,78,https://zuscoffee.com/,OPERATIONAL
ZUS Coffee – MAB Academy Campus Sepang,"Level 1, MAB Academy (MABA Campus) Building, Southern Support Zone KLIA, 64000 Sepang, Selangor","https://www.google.com/maps/place/ZUS+Coffee+-+MAB+Academy+Campus+Sepang/@2.7281907,101.7153726,17z/data=!3m1!4b1!4m6!3m5!1s0x31cdc11c1727487d:0xa93a48a6ea87ca9b!8m2!3d2.7281907!4d101.7179475!16s%2Fg%2F11wj2fg6f1?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJfUgnFxzBzTERm8qH6qZIOqk,ZUS Coffee - MAB Academy Campus Sepang,"Level 1, MAB Academy (MABA Campus) Building, Southern Support Zone, Kuala Lumpur International Airport, 64000 Sepang, Selangor, Malaysia",012-816 1340,+60 12-816 1340,2.7281907,101.7179475,Monday: 9:00 AM – 5:10 PM; Tuesday: 9:00 AM – 5:10 PM; Wednesday: 9:00 AM – 5:10 PM; Thursday: 9:00 AM – 5:10 PM; Friday: 9:00 AM – 5:10 PM; Saturday: Closed; Sunday: Closed,5,6,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – Jalan Berangan, Port Klang","No 20(GF) Jalan Berangan, 42000 Port Klang, Selangor.","https://www.google.com/maps/place/ZUS+Coffee+-+Jalan+Berangan,+Port+Klang/@3.0045575,101.3957439,17z/data=!3m1!4b1!4m6!3m5!1s0x31cdabb6bea93865:0x5c3b0382cace5025!8m2!3d3.0045575!4d101.3983188!16s%2Fg%2F11wfklx5gf?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJZTipvrarzTERJVDOyoIDO1w,"ZUS Coffee - Jalan Berangan, Port Klang","No 20(GF, Jalan Berangan, Kawasan 13, 42000 Pelabuhan Klang, Selangor, Malaysia",012-816 1340,+60 12-816 1340,3.0041146,101.3986966,Monday: 7:00 AM – 8:40 PM; Tuesday: 7:00 AM – 8:40 PM; Wednesday: 7:00 AM – 8:40 PM; Thursday: 7:00 AM – 8:40 PM; Friday: 7:00 AM – 8:40 PM; Saturday: 7:00 AM – 8:40 PM; Sunday: 7:00 AM – 8:40 PM,4.4,60,https://zuscoffee.com/,OPERATIONAL
ZUS Coffee – Ampang Point,"No 50(GF) Jalan Memanda 9, Selangor. Taman Dato Ahmad Razali, 68000 Ampang, Selangor","https://www.google.com/maps/place/ZUS+Coffee+-+Ampang+Point/@3.1577776,101.7488191,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc37d64290c6c5:0x55689625b662c44d!8m2!3d3.1577776!4d101.751394!16s%2Fg%2F11wfggxdr4?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJxcaQQtY3zDERTcRitiWWaFU,ZUS Coffee - Ampang Point,"Ampang Point, 50, Jln Memanda 9, Taman Dato Ahmad Razali, 68000 Ampang, Selangor, Malaysia",012-816 1340,+60 12-816 1340,3.1591226,101.7512393,Monday: 7:00 AM – 10:40 PM; Tuesday: 7:00 AM – 10:40 PM; Wednesday: 7:00 AM – 10:40 PM; Thursday: 7:00 AM – 10:40 PM; Friday: 7:00 AM – 10:40 PM; Saturday: 7:00 AM – 10:40 PM; Sunday: 7:00 AM – 10:40 PM,4.1,80,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – Seksyen 3, Bandar Baru Bangi","47-G, Jalan 3/69, Seksyen 3, 43650 Bandar Baru Bangi, Selangor","https://www.google.com/maps/place/ZUS+Coffee+-+Seksyen+3,+Bandar+Baru+Bangi/@2.937407,101.7712031,17z/data=!3m1!4b1!4m6!3m5!1s0x31cdc9a6a283987b:0x6409b7c0f64e42b6!8m2!3d2.937407!4d101.773778!16s%2Fg%2F11lt9vw77w?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJe5iDoqbJzTERtkJO9sC3CWQ,"ZUS Coffee - Seksyen 3, Bandar Baru Bangi","47-G, Jalan 3/69, Seksyen 3 Bandar Baru Bangi, 43650 Bandar Baru Bangi, Selangor, Malaysia",012-816 1340,+60 12-816 1340,2.937407,101.773778,Monday: 7:00 AM – 10:40 PM; Tuesday: 7:00 AM – 10:40 PM; Wednesday: 7:00 AM – 10:40 PM; Thursday: 7:00 AM – 10:40 PM; Friday: 7:00 AM – 10:40 PM; Saturday: 7:00 AM – 10:40 PM; Sunday: 7:00 AM – 10:40 PM,3.8,42,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – Seksyen 7, Bandar Baru Bangi","No.48G (Ground Floor), Jalan 7/7a, Seksyen 7, 43650 Bandar Baru Bangi, Selangor.","https://www.google.com/maps/place/ZUS+Coffee+-+Seksyen+7,+Bandar+Baru+Bangi/@2.9711765,101.7708659,17z/data=!3m1!4b1!4m6!3m5!1s0x31cdcb4662a400e9:0xdf7e860e8bfc6b41!8m2!3d2.9711765!4d101.7734408!16s%2Fg%2F11whrdjmgk?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJ6QCkYkbLzTERQWv8iw6Gft8,"ZUS Coffee - Seksyen 7, Bandar Baru Bangi","No.48G (Ground Floor, Jalan 7/7a, Seksyen 7, 43650 Bandar Baru Bangi, Selangor, Malaysia",012-816 1340,+60 12-816 1340,2.9700105,101.773986,Monday: 7:00 AM – 10:40 PM; Tuesday: 7:00 AM – 10:40 PM; Wednesday: 7:00 AM – 10:40 PM; Thursday: 7:00 AM – 10:40 PM; Friday: 7:00 AM – 10:40 PM; Saturday: 7:00 AM – 10:40 PM; Sunday: 7:00 AM – 10:40 PM,4.1,120,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – Desa Aman Puri, Kepong","No. 3-15A (GF), Jalan Desa 2/2, Desa Aman Puri, 52100 Kuala Lumpur.","https://www.google.com/maps/place/ZUS+Coffee+-+Desa+Aman+Puri,+Kepong/@3.2095224,101.6128137,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4514c23427dd:0x2fa92d966b8c0c25!8m2!3d3.2095224!4d101.6153886!16s%2Fg%2F11lt9vxxb2?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJ3Sc0whRFzDERJQyMa5YtqS8,"ZUS Coffee - Desa Aman Puri, Kepong","Jalan Desa 2/2, Desa Aman Puri, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",012-816 1340,+60 12-816 1340,3.2095224,101.6153886,Monday: 7:00 AM – 10:40 PM; Tuesday: 7:00 AM – 10:40 PM; Wednesday: 7:00 AM – 10:40 PM; Thursday: 7:00 AM – 10:40 PM; Friday: 7:00 AM – 10:40 PM; Saturday: 7:00 AM – 10:40 PM; Sunday: 7:00 AM – 10:40 PM,3.6,48,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – M Vertica, Cheras","No Lot G-10(GF) M Vertica Retail Shop, 555 Jalan Cheras, Taman Pertama, 56000 Kuala Lumpur.","https://www.google.com/maps/place/ZUS+Coffee+-+M+Vertica,+Cheras/@3.1197509,101.725503,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc3783a11d5f03:0x128ea52c5662fdf9!8m2!3d3.1197509!4d101.7280779!16s%2Fg%2F11whlq1wxy?entry=tts&g_ep=EgoyMDI0MTAwMi4xIPu8ASoASAFQAw%3D%3D",ChIJA18doYM3zDER-f1iViyljhI,"ZUS Coffee - M Vertica, Cheras","555, 10(GF, M Vertica Retail Shop, Lot G, Jln Cheras, Taman Pertama, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",012-816 1340,+60 12-816 1340,3.1189622,101.7278453,Monday: 7:00 AM – 10:40 PM; Tuesday: 7:00 AM – 10:40 PM; Wednesday: 7:00 AM – 10:40 PM; Thursday: 7:00 AM – 10:40 PM; Friday: 7:00 AM – 10:40 PM; Saturday: 7:00 AM – 10:40 PM; Sunday: 7:00 AM – 10:40 PM,4.7,299,https://zuscoffee.com/,OPERATIONAL
